272,1600,300,23540,-1668
273,1650,300,23640,-1372
274,1700,300,23740,-640
275,1750,300,23840,77
276,1800,300,23940,446
277,1850,300,23967,447
278,1900,300,23993,336
279,1950,300,24075,415
280,2000,350,24117,716
281,1950,350,24017,998
282,1900,350,23917,934
283,1850,350,23817,405
284,1800,350,23864,-432
285,1750,350,23964,-1157
286,1700,350,24064,-1376
287,1650,350,24164,-1028
288,1600,350,24264,-381
289,1550,350,24364,172
290,1500,350,24464,392
291,1450,350,24518,321
292,1400,350,24607,219
293,1350,350,24707,323
294,1300,350,24795,616
295,1250,350,24737,845
296,1200,350,24637,741
297,1150,350,24537,241
298,1100,350,24637,-474
299,1050,350,24737,-1022
300,1000,350,24837,-1102
301,950,350,24937,-726
302,900,350,25037,-170
303,850,350,25137,234
304,800,350,25237,329
305,750,350,25322,207
306,700,350,25422,1432
307,650,350,25322,21635
308,600,350,25222,19205
309,550,350,25122,24749
310,500,350,25022,14526
311,450,350,24922,6860
312,400,350,24822,3531
313,350,350,24722,1806
314,300,350,24622,881
315,250,350,24522,701
316,200,350,24422,1158
317,150,350,24322,1783
318,100,350,24222,1929
319,50,350,24122,1212
320,0,400,24022,-169
321,50,400,24122,-1545
322,100,400,24222,-2236
323,150,400,24322,-1986
324,200,400,24422,-1078
325,250,400,24522,-125
326,300,400,24622,369
327,350,400,24687,396
328,400,400,24739,324
329,450,400,24827,530
330,500,400,24812,1068
331,550,400,24712,1592
332,600,400,24612,1610
333,650,400,24512,874
334,700,400,24412,-365
335,750,400,24512,-1511
336,800,400,24612,-2013
337,850,400,24712,-1712
338,900,400,24812,-889
339,950,400,24912,-73
340,1000,400,25012,341
341,1050,400,25091,389
342,1100,400,25146,387
343,1150,400,25202,618
344,1200,400,25143,1078
345,1250,400,25043,1449
346,1300,400,24943,1339
347,1350,400,24843,595
348,1400,400,24796,-511
349,1450,400,24896,-1456
350,1500,400,24996,-1801
351,1550,400,25096,-384
352,1600,400,25196,22243
353,1650,400,25096,24476
354,1700,400,24996,24552
355,1750,400,24896,23856
356,1800,400,24796,13417
357,1850,400,24696,7417
358,1900,400,24596,5156
359,1950,400,24496,3956
360,2000,450,24396,2933
361,1950,450,24296,2009
362,1900,450,24196,1278
